Country ,Population (2023),Density (P/Km²),Land Area (Km²)
India,1428627663 ,481,2973190 
China,1425671352 ,152,9388211 
United States,339996563 ,37,9147420 
Indonesia,277534122 ,153,1811570 
Pakistan,240485658 ,312,770880 
Nigeria,223804632 ,246,910770 
Brazil,216422446 ,26,8358140 
Bangladesh,172954319 ,"1,329",130170 
Russia,144444359 ,9,16376870 
Mexico,128455567 ,66,1943950 
Ethiopia,126527060 ,127,1000000 
Japan,123294513 ,338,364555 
Philippines,117337368 ,394,298170 
Egypt,112716598 ,113,995450 
DR Congo,102262808 ,45,2267050 
Vietnam,98858950 ,319,310070 
Iran,89172767 ,55,1628550 
Turkey,85816199 ,112,769630 
Germany,83294633 ,239,348560 
Thailand,71801279 ,141,510890 
United Kingdom,67736802 ,280,241930 
Tanzania,67438106 ,76,885800 
France,64756584 ,118,547557 
South Africa,60414495 ,50,1213090 
Italy,58870762 ,200,294140 
Kenya,55100586 ,97,569140 
Myanmar,54577997 ,84,653290 
Colombia,52085168 ,47,1109500 
South Korea,51784059 ,533,97230 
Uganda,48582334 ,243,199810 
Sudan,48109006 ,27,1765048 
Spain,47519628 ,95,498800 
Argentina,45773884 ,17,2736690 
Algeria,45606480 ,19,2381740 
Iraq,45504560 ,105,434320 
Afghanistan,42239854 ,65,652860 
Poland,41026067 ,134,306230 
Canada,38781291 ,4,9093510 
Morocco,37840044 ,85,446300 
Saudi Arabia,36947025 ,17,2149690 
Ukraine,36744634 ,63,579320 
Angola,36684202 ,29,1246700 
Uzbekistan,35163944 ,83,425400 
Yemen,34449825 ,65,527970 
Peru,34352719 ,27,1280000 
Malaysia,34308525 ,104,328550 
Ghana,34121985 ,150,227540 
Mozambique,33897354 ,43,786380 
Nepal,30896590 ,216,143350 
Madagascar,30325732 ,52,581795 
Côte d'Ivoire,28873034 ,91,318000 
Venezuela,28838499 ,33,882050 
Cameroon,28647293 ,61,472710 
Niger,27202843 ,21,1266700 
Australia,26439111 ,3,7682300 
North Korea,26160821 ,217,120410 
Taiwan,23923276 ,676,35410 
Mali,23293698 ,19,1220190 
Burkina Faso,23251485 ,85,273600 
Syria,23227014 ,126,183630 
Sri Lanka,21893579 ,349,62710 
Malawi,20931751 ,222,94280 
Zambia,20569737 ,28,743390 
Romania,19892812 ,86,230170 
Chile,19629590 ,26,743532 
Kazakhstan,19606633 ,7,2699700 
Chad,18278568 ,15,1259200 
Ecuador,18190484 ,73,248360 
Somalia,18143378 ,29,627340 
Guatemala,18092026 ,169,107160 
Senegal,17763163 ,92,192530 
Netherlands,17618299 ,522,33720 
Cambodia,16944826 ,96,176520 
Zimbabwe,16665409 ,43,386850 
Guinea,14190612 ,58,245720 
Rwanda,14094683 ,571,24670 
Benin,13712828 ,122,112760 
Burundi,13238559 ,516,25680 
Tunisia,12458223 ,80,155360 
Bolivia,12388571 ,11,1083300 
Haiti,11724763 ,425,27560 
Belgium,11686140 ,386,30280 
Jordan,11337052 ,128,88780 
Dominican Republic,11332972 ,235,48320 
Cuba,11194449 ,105,106440 
South Sudan,11088796 ,18,610952 
Sweden,10612086 ,26,410340 
Honduras,10593798 ,95,111890 
Czech Republic (Czechia),10495295 ,136,77240 
Azerbaijan,10412651 ,126,82658 
Greece,10341277 ,80,128900 
Papua New Guinea,10329931 ,23,452860 
Portugal,10247605 ,112,91590 
Hungary,10156239 ,112,90530 
Tajikistan,10143543 ,72,139960 
United Arab Emirates,9516871 ,114,83600 
Belarus,9498238 ,47,202910 
Israel,9174520 ,424,21640 
Togo,9053799 ,166,54390 
Austria,8958960 ,109,82409 
Switzerland,8796669 ,223,39516 
Sierra Leone,8791092 ,122,72180 
Laos,7633779 ,33,230800 
Hong Kong,7491609 ,"7,135",1050 
Serbia,7149077 ,82,87460 
Nicaragua,7046310 ,59,120340 
Libya,6888388 ,4,1759540 
Paraguay,6861524 ,17,397300 
Kyrgyzstan,6735347 ,35,191800 
Bulgaria,6687717 ,62,108560 
Turkmenistan,6516100 ,14,469930 
El Salvador,6364943 ,307,20720 
Congo,6106869 ,18,341500 
Singapore,6014723 ,"8,592",700 
Denmark,5910913 ,139,42430 
Slovakia,5795199 ,121,48088 
Central African Republic,5742315 ,9,622980 
Finland,5545475 ,18,303890 
Norway,5474360 ,15,365268 
Liberia,5418377 ,56,96320 
State of Palestine,5371230 ,892,6020 
Lebanon,5353930 ,523,10230 
New Zealand,5228100 ,20,263310 
Costa Rica,5212173 ,102,51060 
Ireland,5056935 ,73,68890 
Mauritania,4862989 ,5,1030700 
Oman,4644384 ,15,309500 
Panama,4468087 ,60,74340 
Kuwait,4310108 ,242,17820 
Croatia,4008617 ,72,55960 
Eritrea,3748901 ,37,101000 
Georgia,3728282 ,54,69490 
Mongolia,3447157 ,2,1553560 
Moldova,3435931 ,105,32850 
Uruguay,3423108 ,20,175020 
Puerto Rico,3260314 ,368,8870 
Bosnia and Herzegovina,3210847 ,63,51000 
Albania,2832439 ,103,27400 
Jamaica,2825544 ,261,10830 
Armenia,2777970 ,98,28470 
Gambia,2773168 ,274,10120 
Lithuania,2718352 ,43,62674 
Qatar,2716391 ,234,11610 
Botswana,2675352 ,5,566730 
Namibia,2604172 ,3,823290 
Gabon,2436566 ,9,257670 
Lesotho,2330318 ,77,30360 
Guinea-Bissau,2150842 ,76,28120 
Slovenia,2119675 ,105,20140 
North Macedonia,2085679 ,83,25220 
Latvia,1830211 ,29,62200 
Equatorial Guinea,1714671 ,61,28050 
Trinidad and Tobago,1534937 ,299,5130 
Bahrain,1485509 ,"1,955",760 
Timor-Leste,1360596 ,91,14870 
Estonia,1322765 ,31,42390 
Mauritius,1300557 ,641,2030 
Cyprus,1260138 ,136,9240 
Eswatini,1210822 ,70,17200 
Djibouti,1136455 ,49,23180 
Réunion,981796 ,393,2500 
Fiji,936375 ,51,18270 
Comoros,852075 ,458,1861 
Guyana,813834 ,4,196850 
Bhutan,787424 ,21,38117 
Solomon Islands,740424 ,26,27990 
Macao,704149 ,"23,472",30 
Luxembourg,654768 ,253,2590 
Montenegro,626485 ,47,13450 
Suriname,623236 ,4,156000 
Cabo Verde,598682 ,149,4030 
Western Sahara,587259 ,2,266000 
Micronesia,544321 ,778,700 
Malta,535064 ,"1,672",320 
Maldives,521021 ,"1,737",300 
Brunei,452524 ,86,5270 
Bahamas,412623 ,41,10010 
Belize,410825 ,18,22810 
Guadeloupe,395839 ,234,1690 
Iceland,375318 ,4,100250 
Martinique,366981 ,346,1060 
Mayotte,335995 ,896,375 
Vanuatu,334506 ,27,12190 
French Guiana,312155 ,4,82200 
French Polynesia,308872 ,84,3660 
New Caledonia,292991 ,16,18280 
Barbados,281995 ,656,430 
Sao Tome & Principe,231856 ,242,960 
Samoa,225681 ,80,2830 
Curaçao,192077 ,433,444 
Saint Lucia,180251 ,295,610 
Guam,172952 ,320,540 
Kiribati,133515 ,165,810 
Grenada,126183 ,371,340 
Tonga,107773 ,150,720 
Seychelles,107660 ,234,460 
Aruba,106277 ,590,180 
St. Vincent & Grenadines,103698 ,266,390 
U.S. Virgin Islands,98750 ,282,350 
Antigua and Barbuda,94298 ,214,440 
Isle of Man,84710 ,149,570 
Andorra,80088 ,170,470 
Dominica,73040 ,97,750 
Cayman Islands,69310 ,289,240 
Bermuda,64069 ,"1,281",50 
Greenland,56643 ,0,410450 
Faeroe Islands,53270 ,38,1396 
Northern Mariana Islands,49796 ,108,460 
Saint Kitts & Nevis,47755 ,184,260 
Turks and Caicos,46062 ,48,950 
Sint Maarten,44222 ,"1,301",34 
American Samoa,43914 ,220,200 
Marshall Islands,41996 ,233,180 
Liechtenstein,39584 ,247,160 
Monaco,36297 ,"24,360",1 
San Marino,33642 ,561,60 
Gibraltar,32688 ,"3,269",10 
Saint Martin,32077 ,605,53 
British Virgin Islands,31538 ,210,150 
Caribbean Netherlands,27148 ,83,328 
Palau,18058 ,39,460 
Cook Islands,17044 ,71,240 
Anguilla,15899 ,177,90 
Nauru,12780 ,639,20 
Wallis & Futuna,11502 ,82,140 
Tuvalu,11396 ,380,30 
Saint Barthelemy,10994 ,524,21 
